City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,benguela,-12.5763,13.4055,293.31,67,0,1.07,AO,1689383020
220,templin,53.1186,13.5022,292.49,64,100,3.49,DE,1689383020
221,santa maria,-29.6842,-53.8069,279.76,93,20,1.03,BR,1689382897
222,vilyuchinsk,52.9306,158.4028,286.3,95,100,0.59,RU,1689383020
223,walvis bay,-22.9575,14.5053,286.53,94,0,1.03,NA,1689383020
224,kasane,-17.8167,25.15,283.25,58,0,2.26,BW,1689382755
225,flying fish cove,-10.4217,105.6791,297.97,78,100,6.17,CX,1689383021
226,yarmouth,41.7057,-70.2286,296.15,91,100,2.06,US,1689383021
227,olonkinbyen,70.9221,-8.7187,278.38,98,100,7.36,SJ,1689383021
228,igarka,67.4667,86.5833,280.58,78,100,4.08,RU,1689383021
229,bodo,67.28,14.405,285.8,81,75,4.63,NO,1689383021
230,rudsar,37.1376,50.288,297.14,85,26,0.98,IR,1689383021
231,talcahuano,-36.7167,-73.1167,281.97,76,0,3.6,CL,1689383022
232,pisco,-13.7,-76.2167,293.18,77,100,3.6,PE,1689383022
233,tortoli,39.9256,9.6572,298.42,63,0,1.14,IT,1689383022
234,awjilah,29.1081,21.2869,299.73,53,0,6.54,LY,1689383022
235,san antonio de pale,-1.4014,5.6325,296.3,83,86,5.85,GQ,1689382874
236,timaru,-44.4,171.25,284.86,92,49,1.77,NZ,1689382776
237,weno,7.4515,151.8468,303.12,79,75,2.57,FM,1689383022
238,ilulissat,69.2167,-51.1,279.16,93,100,1.54,GL,1689383023
239,manicore,-5.8092,-61.3003,299.77,64,96,1.04,BR,1689383000
240,havre,49.5833,0.3333,291.67,88,100,5.14,FR,1689383023
241,coquimbo,-29.9533,-71.3436,287.0,94,0,1.54,CL,1689382949
242,kokpekty,48.75,82.4,299.75,29,12,1.96,KZ,1689383023
243,traverse city,44.7631,-85.6206,298.21,75,100,1.37,US,1689382766
244,garachico,28.7781,-17.7646,294.21,88,0,7.72,ES,1689383023
245,petropavlovka,50.6114,105.3196,294.2,65,5,1.67,RU,1689383024
246,wenchang,30.904,118.4887,301.35,84,100,1.67,CN,1689383024
247,portland,45.5234,-122.6762,307.93,28,0,2.24,US,1689382898
248,kavieng,-2.5744,150.7967,301.29,77,100,4.09,PG,1689383024
249,katsuura,35.1333,140.3,298.7,87,100,10.03,JP,1689383024
250,colon,9.3592,-79.9014,299.64,87,100,2.18,PA,1689383025
251,talagang,32.9297,72.4158,305.08,51,100,4.2,PK,1689382848
252,erenhot,43.6475,111.9767,294.0,49,0,3.76,CN,1689383025
253,salto,-31.3833,-57.9667,283.08,79,100,4.92,UY,1689382759
254,svetlyy,54.675,20.1347,285.91,86,34,2.29,RU,1689383025
255,laguna,38.421,-121.4238,313.9,21,0,3.09,US,1689383025
256,guerrero negro,27.9769,-114.0611,295.54,64,5,8.95,MX,1689383025
257,north tamworth,-31.0778,150.9261,289.21,63,0,2.57,AU,1689383026
258,siwa oasis,29.2041,25.5195,301.6,36,1,2.62,EG,1689383026
259,sao vicente,-23.9631,-46.3919,292.03,26,33,1.15,BR,1689383026
260,toungo,8.1167,12.05,294.99,86,93,0.54,NG,1689383026
261,hasaki,35.7333,140.8333,302.37,80,100,8.24,JP,1689382871
262,igunga,-4.2833,33.8833,290.34,55,73,2.56,TZ,1689383026
263,belalcazar,2.6547,-75.9928,288.03,99,89,0.83,CO,1689382824
